epoch,loss,accuracy
1,1.5253558536328233,85.83
2,0.6272393376079958,92.66
3,0.35419835093051893,94.68
4,0.24584779651688615,95.57
5,0.18919264250345577,96.15
6,0.15480337600146277,96.62
7,0.13140408969573628,97.06
8,0.11447527877557506,97.39
9,0.10175966200575645,97.7
10,0.0915126342858587,97.81
11,0.0847186118022783,97.92
12,0.081401333776809,98.05
13,0.07781868872405497,97.98
14,0.07483569544547403,98.05
15,0.07193654951558057,98.12
16,0.06954149439978574,98.14
17,0.06683194834484792,98.2
18,0.06476407836098025,98.25
19,0.06279077419419406,98.3
20,0.060649686542623586,98.29
