epoch,loss,accuracy
1,0.3551080939754591,97.91
2,0.06749685339124525,98.43
3,0.046269172186947476,98.6
4,0.03613263390705747,98.65
5,0.03100116625112497,98.67
6,0.02549548784933858,98.77
7,0.02417469203424782,98.76
8,0.020677452689920692,98.49
9,0.01748761739897526,98.92
10,0.015189621258148198,98.77
11,0.011046225218875808,99.13
12,0.00867670492300669,99.11
13,0.007471210879699911,99.01
14,0.007058698431415073,99.07
15,0.006403129466935613,99.16
16,0.006404991510276825,98.98
17,0.005381502668862626,99.11
18,0.004789499569905258,99.06
19,0.0050750895436868955,99.09
20,0.004182760220936547,99.04
